username,password
zjue,2hbr
60a6,ifwt
c6b1,s1y4
ecp5,sxzr
2s1o,obhy
2ytt,3i3l
atg3,4jek
updt,tfwk
rt91,pr66
k3nf,hl7g
f76r,muaq
yws8,qtp8
lmhs,2c8t
iipz,txri
5rps,ykpk
x58n,2znw
jwqu,of40
4cgo,47zo
qwya,mjco
5i5s,ja4m
sqza,tztr
598o,x8pn
fdol,uhxg
3dm0,a7xl
y0t9,5kqk
kuqt,obmu
mbn4,2xh0
0ke0,psp2
k1mu,iw2h
9tch,xl0n
hc1d,9q0p
6wua,wz2s
f5ap,fh6p
d3b9,h9iz
26le,n8cn
8tgb,lbk6
1tk8,dtux
wpdg,is6c
gfs1,tw9m
fzm9,iunf
3mp2,rpaq
2fhc,wbso
quiw,7ddw
yf13,3z0z
dur9,9qkq
gb80,ie3l
omof,woob
7k4n,6cin
q2wx,whaa
z5ou,0gmj
ubi3,6huo
g5p5,w11a
onok,b6j0
zz92,pt3w
nwud,3ps7
9omf,gx83
9844,r6ya
b8e1,22l0
unlz,kl4u
2w9w,p216
72rz,ajup
nlhx,wwfi
fccl,p8rr
abox,35w0
a1ng,qnmh
4ws9,4zfk
b1df,m6un
09py,oy6c
bwk4,nso0
ezlg,ixi3
u38x,4g4d
g3dm,oqj0
4q49,ayie
1pce,ixx6
hylh,kw9z
2ns3,d89g
g70q,008a
24md,ffx0
nysa,n7jb
kxp8,j74p
ux8q,7aoa
8kib,ro0w
3p71,enoy
ikhi,1zcy
msid,9nop
5hic,e0hs
tw0r,xdaq
2lby,kh3q
0980,bcet
arsq,121o
5n7x,sftb
770u,uxa4
u8qb,j3ul
sqn4,mbkt
5rdf,d27a
d261,7756
zti1,ps6s
slpz,c5ks
r5us,0tx1
pfoy,ljlj
t5o6,2lh8
bwmi,49zu
66em,n72j
2saq,wpyk
omy1,43gj
lu1f,y1bh
5t8r,su5e
nkng,thnj
t0sx,h25l
4nqp,5nfs
i8bq,agtp
pn1m,ebkn
00tz,948y
fb40,uzcp
aip0,qxde
3d2r,snlr
gh5t,otb1
o95j,rk40
m04i,cil6
hmtg,3m5k
7uln,4iss
htub,pmxs
fhfy,cpyl
eotf,2opj
403u,x1sj
p0m7,zoy5
otgl,3aoq
b7nl,pou3
k7n5,ocx1
m1tl,jsqo
xlbf,sman
k44a,rflw
0nyw,kmbs
78g1,85io
bbi2,r6tz
eg4x,jypn
glqe,lyd2
w77o,ye5b
o2mi,0dsp
jo4j,0ud1
